Edition_year,Player_name,Votes,Rank
2001,Gary Payton,732671,13
2001,David Robinson,716228,14
2001,Vlade Divac,715687,15
2001,Theo Ratliff,637585,16
2001,Dikembe Mutombo,627148,17
2001,Stephon Marbury,512645,18
2001,Rasheed Wallace,510543,19
2001,Karl Malone,479624,20
2001,Allan Houston,476380,21
2001,Jerry Stackhouse,459575,22
2001,Ray Allen,409654,23
2001,Anthony Mason,322696,24
2001,Michael Finley,279250,25
2000,Vince Carter,1911973,1
2000,Alonzo Mourning,1878588,2
2000,Allen Iverson,1843011,3
2000,Shaquille O'Neal,1807609,4
2000,Kevin Garnett,1550976,5
2000,Grant Hill,1371304,6
2000,Tim Duncan,1321436,7
2000,Jason Kidd,1061031,8
2000,Kobe Bryant,1022897,9
2000,Gary Payton,898601,10
2000,Eddie Jones,734940,11
2000,Chris Webber,661865,12
2000,Allan Houston,600876,13
2000,David Robinson,595451,14
2000,Ray Allen,443295,15
2000,Reggie Miller,366137,16
2000,Karl Malone,327599,17
2000,Dikembe Mutombo,277768,18
2000,John Stockton,259563,19
2000,Michael Finley,197431,20
2000,Glenn Robinson,184230,21
2000,Rasheed Wallace,177022,22
1998,Michael Jordan,1028235,1
1998,Grant Hill,838692,2
1998,Karl Malone,616251,3
1998,Shaquille O'Neal,565184,4
1998,Gary Payton,555715,5
1998,David Robinson,548633,6
1998,Shawn Kemp,518361,7
1998,Kevin Garnett,513325,8
1998,Anfernee Hardaway,509626,9
1998,Dikembe Mutombo,476432,10
1998,Tim Duncan,423970,11
1998,Kobe Bryant,395686,12
1998,Vin Baker,360079,13
1998,Tim Hardaway,349621,14
1998,Jason Kidd,305834,15
1998,Eddie Jones,300658,16
1998,Glen Rice,270277,17
1998,Nick Van Exel,232274,18
1998,Reggie Miller,221814,19
1998,Mitch Richmond,197695,20
1998,Antoine Walker,137994,21
1998,Rik Smits,117744,22
1998,Steve Smith,114982,23
1997,Michael Jordan,2451136,1
1997,Charles Barkley,1877232,2
1997,Grant Hill,1868020,3
1997,Shawn Kemp,1713049,4
1997,Scottie Pippen,1683956,5
1997,Hakeem Olajuwon,1487310,6
1997,Patrick Ewing,1395759,7
1997,Karl Malone,1337319,8
1997,Shaquille O'Neal,1305941,9
1997,Gary Payton,1206539,10
